epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.046,3.55193,10.5683,4.26831,0.87587,0.00058,0.00402,0.00119,3.8556,17.1892,4.4777,0.00332838,0.00332838,0.00332838
2,748.46,3.62359,8.97162,4.11321,0.79533,0.16348,0.05899,0.02974,3.55101,9.70831,3.84451,0.00666153,0.00666153,0.00666153
3,1158.75,3.24245,7.23809,3.56276,0.57802,0.09813,0.07611,0.01479,3.70674,6.99105,3.31644,0.00999396,0.00999396,0.00999396
4,1570.29,2.72798,5.91777,2.94636,0.57185,0.2026,0.2304,0.14776,2.73045,6.20184,2.44598,0.00999756,0.00999756,0.00999756
5,1980.71,2.48599,5.20762,2.62772,0.48597,0.32592,0.21741,0.13703,2.3694,4.54252,2.32326,0.00999566,0.00999566,0.00999566
6,2391.21,2.20723,4.53633,2.33725,0.36363,0.30282,0.30225,0.20157,2.26281,4.52836,2.01358,0.00999322,0.00999322,0.00999322
7,2692.5,2.04619,4.09031,2.16436,0.78481,0.29579,0.30733,0.19999,2.25018,3.85531,2.02628,0.00999023,0.00999023,0.00999023
8,2932.52,1.9449,3.83475,2.0525,0.59799,0.32262,0.3121,0.17159,2.32201,4.56126,1.96282,0.00998671,0.00998671,0.00998671
9,3132.01,1.87864,3.61656,1.9575,0.47431,0.32593,0.31975,0.1641,2.32564,4.38755,1.99061,0.00998264,0.00998264,0.00998264
10,3329.96,1.76907,3.364,1.88216,0.65238,0.29151,0.32186,0.20792,2.25123,3.62012,1.94934,0.00997803,0.00997803,0.00997803
11,3524.85,1.72423,3.23728,1.82238,0.38429,0.31553,0.28905,0.17293,2.06714,3.58042,1.90906,0.00997288,0.00997288,0.00997288
12,3726.06,1.69259,3.15364,1.80175,0.44986,0.41332,0.36956,0.22442,2.01103,3.43159,1.76398,0.0099672,0.0099672,0.0099672
13,3978.73,1.65305,3.05208,1.74977,0.39463,0.3315,0.35586,0.22459,2.00571,3.64456,1.84829,0.00996097,0.00996097,0.00996097
14,4386.65,1.61914,2.97007,1.70795,0.52573,0.36846,0.39213,0.20089,2.03002,3.03523,1.87148,0.0099542,0.0099542,0.0099542
15,4808.85,1.61184,2.99699,1.71182,0.6218,0.35029,0.39108,0.24865,1.98346,2.94557,1.82608,0.0099469,0.0099469,0.0099469
16,5220.92,1.55714,2.85767,1.65782,0.69073,0.38387,0.42502,0.25217,1.89884,2.99126,1.79271,0.00993906,0.00993906,0.00993906
17,5622.34,1.53679,2.77131,1.61978,0.59962,0.39258,0.38616,0.21866,1.94298,2.97083,1.81702,0.00993068,0.00993068,0.00993068
18,6024.93,1.51644,2.78538,1.62354,0.34218,0.4223,0.41328,0.22781,1.90753,3.10527,1.7509,0.00992177,0.00992177,0.00992177
19,6429.28,1.48029,2.65875,1.58319,0.44571,0.40102,0.41807,0.26215,1.90424,2.98761,1.65933,0.00991232,0.00991232,0.00991232
20,6833.28,1.4851,2.67705,1.57966,0.59273,0.36702,0.41954,0.24694,1.88074,2.97359,1.72183,0.00990234,0.00990234,0.00990234
21,7234.98,1.44184,2.62228,1.54867,0.54123,0.41885,0.43758,0.27653,1.7628,2.6413,1.65599,0.00989183,0.00989183,0.00989183
22,7625.03,1.43373,2.59091,1.55088,0.30967,0.48145,0.38263,0.21104,1.68746,2.93952,1.56457,0.00988079,0.00988079,0.00988079
23,8007.98,1.40234,2.57783,1.53321,0.4281,0.427,0.4462,0.27671,1.80628,2.75772,1.55342,0.00986922,0.00986922,0.00986922
24,8393.8,1.37958,2.46741,1.50495,0.50923,0.45903,0.4923,0.28172,1.66412,2.66042,1.60117,0.00985711,0.00985711,0.00985711
25,9664.66,1.3857,2.48196,1.5105,0.40596,0.45916,0.46907,0.28933,1.59536,2.5451,1.55001,0.00984449,0.00984449,0.00984449
26,10053.4,1.3932,2.47486,1.48541,0.55421,0.44686,0.47989,0.27601,1.5908,2.6523,1.50212,0.00983133,0.00983133,0.00983133
27,10436.9,1.38379,2.46621,1.49752,0.30082,0.39674,0.4033,0.2357,1.59481,2.87795,1.56109,0.00981765,0.00981765,0.00981765
28,10823.7,1.36738,2.37869,1.46929,0.47926,0.52948,0.50598,0.31729,1.50603,2.50938,1.42959,0.00980345,0.00980345,0.00980345
29,11210.3,1.32188,2.32836,1.45334,0.56465,0.54676,0.55619,0.33494,1.48097,2.47954,1.44589,0.00978873,0.00978873,0.00978873
30,11602.2,1.36619,2.4374,1.46927,0.49323,0.59166,0.56532,0.31957,1.5703,2.36316,1.49692,0.00977349,0.00977349,0.00977349
31,11995.8,1.33352,2.36921,1.4577,0.6302,0.61402,0.54518,0.32075,1.53709,2.51509,1.47062,0.00975773,0.00975773,0.00975773
32,12386,1.33031,2.38239,1.45869,0.52574,0.61651,0.58145,0.33952,1.44999,2.2244,1.39147,0.00974145,0.00974145,0.00974145
